country,year,immigration_rate
croatia,1972,-18403
croatia,1977,18681
croatia,1982,54369
croatia,1987,26145
croatia,1992,-143579
croatia,1997,-188129
croatia,2002,-2580
croatia,2007,-10499
croatia,2012,-32772
croatia,2017,-40000
haiti,1962,-51997
haiti,1967,-58003
haiti,1972,-88000
haiti,1977,-97999
haiti,1982,-124999
haiti,1987,-135001
haiti,1992,-140001
haiti,1997,-144998
haiti,2002,-139999
haiti,2007,-138004
haiti,2012,-150000
haiti,2017,-175000
hungary,1962,21715
hungary,1967,15731
hungary,1972,-24419
hungary,1977,13040
hungary,1982,-115800
hungary,1987,-91554
hungary,1992,99980
hungary,1997,78562
hungary,2002,61589
hungary,2007,25150
hungary,2012,29999
hungary,2017,29999
indonesia,1962,-107486
indonesia,1967,-40261
indonesia,1972,-90360
indonesia,1977,-202747
indonesia,1982,-49566
indonesia,1987,-166738
indonesia,1992,-381823
indonesia,1997,-344962
indonesia,2002,-851310
indonesia,2007,-744715
indonesia,2012,-835000
indonesia,2017,-825000
india,1962,-85382
india,1967,-345179
india,1972,2143321
india,1977,1157182
india,1982,583096
india,1987,45147
india,1992,-552935
india,1997,-716900
india,2002,-1950910
india,2007,-2913829
india,2012,-2578213
india,2017,-2449998
ireland,1962,-109734
ireland,1967,-50860
ireland,1972,37331
ireland,1977,53058
ireland,1982,-50745
ireland,1987,-115193
ireland,1992,-10648
ireland,1997,83412
ireland,2002,199949
ireland,2007,198144
ireland,2012,-139996
ireland,2017,23497
"iran,_islamic_rep.",1962,-7838
"iran,_islamic_rep.",1967,51755
"iran,_islamic_rep.",1972,77633
"iran,_islamic_rep.",1977,419996
"iran,_islamic_rep.",1982,2019420
"iran,_islamic_rep.",1987,1344377
"iran,_islamic_rep.",1992,-2096003
"iran,_islamic_rep.",1997,615293
"iran,_islamic_rep.",2002,-70307
"iran,_islamic_rep.",2007,-549266
"iran,_islamic_rep.",2012,-400001
"iran,_islamic_rep.",2017,-274998
iraq,1962,-1862
iraq,1967,-6877
iraq,1972,-8587
iraq,1977,-47791
iraq,1982,-199939
iraq,1987,-630184
iraq,1992,-154026
iraq,1997,-17859
iraq,2002,-266320
iraq,2007,-457332
iraq,2012,463665
iraq,2017,39171
iceland,1962,-732
iceland,1967,-2757
iceland,1972,-1061
iceland,1977,-3929
iceland,1982,260
iceland,1987,646
iceland,1992,-1054
iceland,1997,1020
iceland,2002,2940
iceland,2007,12007
iceland,2012,-2163
iceland,2017,1900
israel,1962,208759
israel,1967,72440
israel,1972,165879
israel,1977,62546
israel,1982,2604
israel,1987,65418
israel,1992,456923
israel,1997,245334
israel,2002,102935
israel,2007,273635
israel,2012,19497
israel,2017,50002
italy,1962,-231607
italy,1967,-231781
italy,1972,19396
italy,1977,164927
italy,1982,266352
italy,1987,-10058
italy,1992,152825
italy,1997,223974
italy,2002,1624300
italy,2007,1006308
italy,2012,264145
italy,2017,350000
jamaica,1962,-144764
jamaica,1967,-151557
jamaica,1972,-92857
jamaica,1977,-101213
jamaica,1982,-73916
jamaica,1987,-145996
jamaica,1992,-101198
jamaica,1997,-82801
jamaica,2002,-84638
jamaica,2007,-87395
jamaica,2012,-93096
jamaica,2017,-93000
jordan,1962,35715
jordan,1967,254352
jordan,1972,-29706
jordan,1977,-80758
jordan,1982,81657
jordan,1987,170602
jordan,1992,412472
jordan,1997,-150147
jordan,2002,-93897
jordan,2007,649997
jordan,2012,975285
jordan,2017,0
japan,1962,-151351
japan,1967,819220
japan,1972,727596
japan,1977,205006
japan,1982,50002
japan,1987,-298339
japan,1992,46286
japan,1997,-100333
japan,2002,164199
japan,2007,277580
japan,2012,358133
japan,2017,250000
kazakhstan,1962,691681
kazakhstan,1967,173343
kazakhstan,1972,-128101
kazakhstan,1977,-412067
kazakhstan,1982,-429797
kazakhstan,1987,-656091
kazakhstan,1992,-1411744
kazakhstan,1997,-1324984
kazakhstan,2002,44530
kazakhstan,2007,-35196
kazakhstan,2012,159807
kazakhstan,2017,0
kenya,1962,-20000
kenya,1967,-19535
kenya,1972,-17915
kenya,1977,-2930
kenya,1982,3805
kenya,1987,5023
kenya,1992,221569
kenya,1997,-21386
kenya,2002,25144
kenya,2007,-189330
kenya,2012,-50000
kenya,2017,-50000
kyrgyz_republic,1962,103107
kyrgyz_republic,1967,104185
kyrgyz_republic,1972,-12065
kyrgyz_republic,1977,-45839
kyrgyz_republic,1982,-54162
kyrgyz_republic,1987,-126883
kyrgyz_republic,1992,-276249
kyrgyz_republic,1997,-27268
kyrgyz_republic,2002,-172911
kyrgyz_republic,2007,-76604
kyrgyz_republic,2012,-137902
kyrgyz_republic,2017,-100001
cambodia,1962,0
cambodia,1967,-249999
cambodia,1972,-125000
cambodia,1977,-84999
cambodia,1982,-88854
cambodia,1987,-78022
cambodia,1992,409414
cambodia,1997,348495
cambodia,2002,-35156
cambodia,2007,-295987
cambodia,2012,-149999
cambodia,2017,-149999
kiribati,1962,-1219
kiribati,1967,-1274
kiribati,1972,-1500
kiribati,1977,-2576
kiribati,1982,-3112
kiribati,1987,-766
kiribati,1992,-4598
kiribati,1997,-2977
kiribati,2002,-2039
kiribati,2007,-578
kiribati,2012,-2130
kiribati,2017,-2126
"korea,_rep.",1962,39834
"korea,_rep.",1967,-48644
"korea,_rep.",1972,-209905
"korea,_rep.",1977,-165144
"korea,_rep.",1982,93035
"korea,_rep.",1987,170623
"korea,_rep.",1992,71504
"korea,_rep.",1997,159339
"korea,_rep.",2002,81291
"korea,_rep.",2007,-156535
"korea,_rep.",2012,169634
"korea,_rep.",2017,200000
kuwait,1962,137000
kuwait,1967,146600
kuwait,1972,95836
kuwait,1977,141100
kuwait,1982,115340
kuwait,1987,119768
kuwait,1992,-655000
kuwait,1997,242000
kuwait,2002,26500
kuwait,2007,479500
kuwait,2012,670000
kuwait,2017,100000
lao_pdr,1962,76
lao_pdr,1967,30
lao_pdr,1972,46
lao_pdr,1977,-198756
lao_pdr,1982,-35110
lao_pdr,1987,138
lao_pdr,1992,-60567
lao_pdr,1997,-134746
lao_pdr,2002,-148100
